cam,elapsed,frame,hip_height,hip_tilt,shoulder_tilt,track_id,trunk_angle
A,5.345224142074585,235,388.7,5.0,7.5,16,-0.9
A,5.47476053237915,236,423.3,7.6,3.2,16,2.2
A,5.61759614944458,237,415.6,6.8,8.9,16,4.1
A,5.764165163040161,238,420.7,7.2,8.6,16,5.9
A,6.037596940994263,240,404.0,15.6,12.5,16,6.4
A,6.165051221847534,241,396.5,4.7,5.3,16,5.8
A,6.290868043899536,242,412.5,0.4,4.7,16,1.6
A,9.945044755935669,271,424.2,1.6,2.0,18,-0.1
A,10.078852415084839,272,426.6,3.7,11.1,18,3.0
A,10.205244779586792,273,424.6,4.3,13.1,18,3.8
A,10.33387017250061,274,436.0,0.3,17.2,18,4.6
A,10.477336406707764,275,413.9,5.5,12.1,18,-1.8
A,10.61468505859375,276,402.6,11.7,5.1,18,-5.8
A,10.755050420761108,277,379.9,16.4,12.6,18,-7.0
A,11.015304565429688,279,402.9,10.3,9.8,18,-4.7
A,15.53374981880188,314,416.3,8.3,12.6,19,-4.9
A,15.661346673965454,315,443.5,16.1,22.7,19,0.2
A,15.807931184768677,316,448.8,14.7,14.7,19,4.4
A,19.916215419769287,346,392.4,2.0,13.5,20,4.8
A,20.06119394302368,347,421.5,2.9,32.5,20,2.3
A,20.213542222976685,348,442.1,7.8,43.7,20,2.3
A,20.362420558929443,349,435.8,1.4,26.3,20,0.5
A,20.535719871520996,350,412.8,5.5,13.9,20,-0.6
A,20.703771829605103,351,387.0,17.6,14.6,20,-3.5
A,21.006016492843628,353,340.9,14.0,11.4,20,-5.1
A,24.597903966903687,381,428.8,2.6,14.6,21,-0.3
A,24.73435878753662,382,418.0,4.4,9.4,21,1.5
A,24.864538431167603,383,418.4,4.8,10.1,21,3.9
A,25.014558792114258,384,400.6,1.0,20.5,21,4.5
A,25.14708924293518,385,397.5,2.5,19.1,21,7.2
A,25.282356023788452,386,404.1,13.7,5.6,21,6.8
A,25.41304111480713,387,413.8,9.5,4.8,21,6.1
A,27.407432079315186,402,336.3,12.1,16.6,21,-1.1
A,30.65912437438965,425,427.5,8.7,2.0,22,0.5
A,33.67408728599548,447,387.7,5.8,7.3,23,0.2
A,33.814276933670044,448,363.6,4.4,9.2,23,1.1
A,33.942935943603516,449,387.0,14.7,5.3,23,-3.0
A,34.21428179740906,451,360.7,14.0,2.9,23,-5.6
A,36.843257188797,471,409.7,8.6,28.1,24,-0.4
A,36.98476028442383,472,319.8,5.7,24.9,24,0.3
A,46.73339533805847,548,418.2,12.9,17.4,26,-1.3
A,46.877909421920776,549,431.5,0.7,15.3,26,2.6
A,47.00437927246094,550,426.1,2.8,14.8,26,1.6
A,47.13745069503784,551,394.5,1.6,14.6,26,0.2
A,47.28677749633789,552,417.6,2.6,19.1,26,0.0
A,47.44479322433472,553,396.2,3.7,6.6,26,0.2
A,47.60341811180115,554,391.4,11.7,3.4,26,-3.8
A,47.73382806777954,555,407.2,12.6,7.3,26,-5.5
A,52.18215537071228,588,379.4,4.1,0.2,30,-2.0
A,52.314481258392334,589,382.3,9.9,10.2,30,-7.4
A,52.447649002075195,590,383.6,4.4,5.1,30,-4.9
A,52.604159116744995,591,368.7,6.9,1.7,30,-2.2
A,52.737119913101196,592,413.4,6.3,2.3,30,5.6
A,56.060261249542236,617,431.0,27.3,16.9,33,-4.5
A,56.20605659484863,618,431.8,20.5,12.2,33,-9.8
A,56.33951687812805,619,436.0,16.1,14.4,33,-7.5
A,58.63370895385742,636,422.2,7.9,27.7,34,4.2
A,58.786707639694214,637,396.4,2.1,1.0,34,6.3
A,58.94288611412048,638,419.1,2.6,24.5,34,4.8
A,59.064685106277466,639,403.2,1.4,25.0,34,1.4
A,59.20104718208313,640,416.3,0.6,22.3,34,0.4
A,59.34766888618469,641,412.0,5.5,14.4,34,-1.2
A,59.50336718559265,642,400.8,2.1,16.7,34,-2.1
A,59.64799165725708,643,369.4,0.0,19.4,34,-2.0
A,59.7821683883667,644,375.2,2.1,15.3,34,-5.0
A,61.82532978057861,659,406.8,5.9,28.7,36,0.4
A,61.95618724822998,660,408.5,8.5,31.0,36,1.2
A,62.097651720047,661,397.9,0.4,10.6,36,-0.9
A,62.23633551597595,662,377.1,3.1,3.7,36,-2.4
A,62.42685651779175,663,387.4,16.6,13.7,36,9.3
A,62.579283714294434,664,417.1,12.7,3.8,36,6.3
A,62.72975134849548,665,418.1,1.8,1.4,37,-5.3
A,63.005637884140015,667,452.5,3.2,16.9,37,7.1
A,66.80915999412537,696,438.2,3.5,15.0,38,-0.4
A,66.93677997589111,697,435.1,3.9,16.7,38,0.2
A,67.08253121376038,698,448.0,8.3,5.2,38,1.1
A,67.22560858726501,699,436.6,12.5,2.1,38,0.6
A,67.36363458633423,700,443.1,3.3,19.2,38,-2.0
A,67.50808000564575,701,430.6,0.9,23.0,38,-3.8
