cam,elapsed,frame,hip_height,hip_tilt,max_knee_lift,shoulder_tilt,stride_width,track_id,trunk_angle
A,0.0,26,395.9,6.9,,5.9,,3,28.4
A,0.0,27,392.3,8.0,14.1,6.9,,3,32.0
A,0.0,28,377.1,2.8,,9.4,,1,7.7
A,0.0,28,388.6,4.9,,2.3,,3,28.6
A,0.0,29,474.0,11.3,,35.1,,1,-1.3
A,0.0,29,393.0,3.9,,0.1,,3,14.3
A,0.0,30,475.6,2.5,,3.3,,1,4.3
A,0.0,30,397.4,2.5,,1.5,,3,7.1
A,0.0,31,397.1,4.8,,2.4,,3,21.4
A,0.0,32,398.9,6.6,,5.4,,3,19.8
A,0.0,33,383.4,6.0,8.4,4.4,,3,32.3
A,0.0,34,382.8,6.2,13.3,4.1,3.9,3,34.0
A,0.0,35,386.5,4.8,,1.7,,3,31.4
A,0.0,36,385.6,5.9,12.3,2.4,,3,22.3
A,0.0,37,456.7,6.2,,11.7,,1,1.6
A,0.0,37,389.0,5.6,,2.9,,3,19.9
A,0.0,38,451.4,36.2,,39.2,,1,10.2
A,0.0,39,382.1,5.8,8.7,5.0,4.1,3,32.7
A,0.0,40,386.9,5.3,3.7,1.2,,3,29.4
A,0.0,41,386.5,4.5,7.8,1.0,,3,22.7
A,0.0,42,389.0,4.2,-1.0,0.3,,3,24.3
A,0.0,43,390.9,4.6,12.6,1.3,,3,19.7
A,0.0,59,430.3,6.4,53.0,0.7,21.9,5,8.6
A,0.0,60,445.4,2.8,69.5,6.3,1.2,5,0.6
A,0.0,61,442.0,8.4,71.2,1.7,10.9,5,12.9
A,0.0,62,434.5,5.9,57.1,0.5,23.3,5,9.1
A,0.0,63,446.0,4.7,81.3,4.8,14.9,5,7.6
A,0.0,64,435.1,6.9,69.9,1.5,18.0,5,10.2
A,0.0,65,436.5,5.1,73.2,2.6,3.8,5,7.1
A,0.0,66,449.6,3.9,87.7,5.5,7.4,5,-1.8
A,0.0,67,436.9,4.9,59.5,3.5,6.3,5,5.6
A,0.0,68,434.6,6.2,52.1,1.4,2.2,5,8.3
A,0.0,69,433.6,8.6,52.8,0.8,10.3,5,10.4
A,0.0,70,433.4,6.5,46.6,0.4,2.1,5,10.7
A,0.0,71,437.7,7.2,48.5,2.5,8.9,5,8.3
A,0.0,72,424.3,11.4,48.0,7.8,10.1,5,17.4
A,0.0,73,436.3,5.5,57.0,3.1,3.4,5,4.7
A,0.0,74,437.0,6.5,64.5,1.7,1.3,5,5.6
A,0.0,75,445.3,5.3,79.3,4.2,14.1,5,5.0
A,0.0,76,439.6,5.3,65.8,5.5,13.6,5,5.8
A,0.0,77,437.2,6.6,63.8,2.8,18.2,5,2.2
A,2.0206027030944824,87,434.7,7.4,65.8,0.1,14.6,5,4.4
A,2.259679079055786,88,437.6,7.9,69.3,0.2,11.8,5,7.7
A,2.4465224742889404,89,438.8,7.8,72.8,0.4,10.1,5,9.7
A,2.668715238571167,90,441.6,6.9,67.8,2.7,17.5,5,8.1
A,2.8989388942718506,91,440.2,7.3,66.6,1.4,15.0,5,10.2
A,3.1496946811676025,92,438.3,8.2,66.7,1.1,4.5,5,11.5
A,3.3753163814544678,93,437.1,8.8,64.1,1.2,16.6,5,9.7
A,3.5821869373321533,94,441.4,7.2,70.0,1.2,7.7,5,4.8
A,3.8131065368652344,95,440.2,8.9,66.7,0.4,12.3,5,7.7
A,4.039736986160278,96,443.8,7.1,74.3,1.6,8.6,5,6.8
A,4.040128946304321,96,440.0,3.5,,2.3,,7,-2.1
A,4.268280267715454,97,439.2,9.2,67.8,2.9,2.9,5,6.3
A,4.473860740661621,98,442.1,8.1,67.8,0.3,12.5,5,6.0
A,4.719667434692383,99,441.9,7.9,73.6,1.9,2.7,5,5.9
A,4.720146656036377,99,427.7,5.9,,4.4,,7,-2.1
A,5.01349139213562,100,437.2,9.4,65.7,5.4,14.2,5,10.4
A,5.013907432556152,100,439.0,5.2,,4.8,,7,-2.1
A,5.476306676864624,102,442.4,14.0,62.5,22.8,52.0,5,8.9
A,5.476624488830566,102,443.5,5.5,,2.4,,7,-3.3
A,5.700505495071411,103,440.1,16.0,85.8,28.1,67.8,5,17.5
A,5.931048154830933,104,433.7,12.9,78.2,25.8,88.1,5,20.8
A,6.181835412979126,105,424.9,11.0,60.8,12.5,1.9,5,18.9
A,6.182178258895874,105,443.6,8.0,,7.1,,7,-4.4
A,6.387895822525024,106,432.4,14.0,55.8,21.9,48.9,5,15.1
A,6.3882951736450195,106,439.5,6.1,57.4,5.3,0.0,7,2.7
A,6.623497009277344,107,433.7,12.6,54.9,20.1,64.2,5,12.3
A,6.851451396942139,108,432.5,14.2,58.6,21.5,51.6,5,15.0
A,7.087916374206543,109,438.0,10.7,64.2,18.1,109.4,5,9.4
A,7.328180551528931,110,430.9,13.6,64.6,20.8,64.2,5,16.0
A,7.3286452293396,110,446.9,7.5,,7.2,,7,-9.4
